frame,channel_id,x,y,area,length,mean_intensity,is_dividing
70,19,1616,678,291.5,37,92.30930930930931,True
70,5,553,680,89.5,17,68.74774774774775,True
71,11,1008,678,342.5,39,112.15025906735752,True
71,2,324,679,423.5,51,98.40501043841336,True
71,18,1541,678,69.0,12,66.84883720930233,True
71,4,477,681,332.0,54,68.85641025641026,True
71,15,1312,677,471.5,50,119.50284629981024,True
71,12,1086,683,175.5,27,70.68115942028984,True
71,0,173,681,165.5,23,88.86010362694302,True
71,8,779,677,317.5,36,115.56703910614526,True
71,19,1616,677,302.5,38,86.59710144927536,True
72,16,1390,683,212.5,29,75.40243902439025,True
72,18,1542,677,57.5,11,59.958904109589035,True
72,2,323,681,432.0,51,90.93634496919918,True
72,0,173,680,167.0,24,76.0974358974359,True
72,14,1236,681,543.5,62,99.70327868852459,True
72,8,779,677,327.5,36,102.66304347826086,True
72,10,935,695,176.5,29,63.728571428571435,True
73,16,1390,679,224.0,31,74.64478764478764,True
73,18,1542,677,53.0,12,58.20289855072464,True
73,12,1086,686,352.0,60,60.51201923076923,True
73,6,628,678,365.5,41,94.04136253041362,True
73,8,779,677,322.0,36,103.96969696969697,True
73,0,172,681,184.5,23,77.84433962264151,True
73,14,1236,682,551.5,63,99.11954765751213,True
73,19,1616,678,291.0,40,75.625,True
74,18,1538,700,513.5,62,109.03448275862068,True
74,12,1085,693,154.0,24,71.23497267759562,True
74,6,628,677,336.0,41,105.4251968503937,True
74,8,779,676,327.5,37,119.04878048780488,True
74,0,172,680,199.5,25,96.78260869565217,True
74,14,1236,681,564.0,64,110.42022116903634,True
74,19,1616,677,320.0,43,87.82880434782608,True
75,18,1537,701,532.0,62,114.24373956594324,True
75,6,627,677,357.0,41,114.0545905707196,True
75,8,779,677,307.5,35,123.74712643678161,True
75,12,1084,695,195.0,30,78.51528384279476,True
75,14,1236,680,561.0,65,113.06973058637084,True
75,4,475,678,448.0,58,91.65882352941176,True
76,18,1538,699,532.5,63,120.69500000000001,True
76,6,627,676,381.0,41,127.88056206088993,True
76,11,1007,674,373.5,43,116.00475059382423,True
76,15,1309,674,519.5,56,135.10344827586206,True
76,4,477,678,193.5,28,89.39380530973452,True
77,6,628,677,349.5,41,111.23291139240507,True
77,0,173,680,195.0,28,79.27753303964758,True
77,14,1236,681,588.0,67,110.56666666666666,True
77,12,1084,692,198.0,34,75.98728813559322,True
77,8,779,675,342.0,38,115.87792207792208,True
77,4,477,680,203.5,28,90.46610169491525,True
77,19,1615,675,349.5,45,87.69924812030075,True
78,11,1007,673,380.5,43,110.97897196261681,True
78,12,1084,695,235.0,38,74.47292418772564,True
78,8,779,676,343.0,37,126.07012987012988,True
78,19,1615,674,334.5,47,86.89147286821706,True
78,0,172,680,198.5,28,83.49350649350649,True
78,14,1235,680,595.5,69,110.9237668161435,True
78,3,400,679,174.5,26,82.36585365853658,True
78,7,705,686,220.0,32,77.94921875,True
79,6,627,675,385.0,43,102.79214780600462,True
79,0,171,678,208.5,30,77.14814814814815,True
79,8,779,675,335.5,36,116.5132275132275,True
79,19,1614,675,360.5,47,78.87651331719128,True
79,11,1006,672,369.5,43,102.38369304556355,True
79,5,550,676,306.0,46,72.75350140056022,True
79,2,322,677,458.5,52,106.28349514563106,True
79,7,704,682,225.5,30,78.3639846743295,True
80,22,1842,674,558.0,70,89.80568720379146,True
80,8,778,672,365.0,40,117.08312958435208,True
80,1,245,681,503.5,53,119.68861209964412,True
80,12,1084,687,220.0,37,69.2375478927203,True
80,4,474,676,473.0,61,82.9239332096475,True
80,0,172,678,189.5,28,76.69369369369369,True
80,14,1235,678,578.5,70,94.00152905198777,True
80,2,321,676,467.5,52,102.47619047619048,True
80,7,704,679,226.0,30,79.09578544061303,True
81,0,172,679,185.0,28,74.83870967741936,True
81,9,854,676,588.5,64,116.32826747720365,True
81,4,474,676,242.5,32,85.63082437275986,True
81,18,1537,698,543.0,62,102.73114754098361,True
81,14,1235,675,639.0,74,93.16689847009735,True
81,5,551,674,339.5,49,71.66412213740459,True
81,7,704,678,232.0,32,69.93283582089552,True
82,0,172,678,199.0,28,82.35775862068965,True
82,6,628,673,379.0,45,106.63551401869158,True
82,18,1538,696,566.5,65,121.54874213836479,True
82,8,779,671,356.0,40,110.3925,True
82,3,399,674,394.0,57,83.94956140350877,True
82,15,1309,671,523.0,58,109.55119453924915,True
82,7,705,677,240.5,34,77.415770609319,True
83,7,705,678,254.0,34,80.72696245733789,True
83,16,1390,675,278.0,36,88.95611285266457,True
83,21,1766,676,329.5,43,84.74005305039788,True
83,12,1084,693,232.0,36,73.63970588235294,True
83,8,779,673,358.5,39,113.46517412935323,True
83,4,474,681,238.5,33,84.34057971014492,True
84,19,1615,678,384.0,52,73.18552036199095,True
84,0,172,676,232.0,34,71.9,True
84,18,1539,695,555.5,65,100.1744,True
84,16,1389,671,288.0,39,82.22658610271904,True
84,9,855,676,566.5,64,98.30817610062894,True
84,12,1084,694,252.0,40,64.9695945945946,True
84,11,1007,669,394.0,44,103.32731376975168,True
85,0,171,677,198.0,33,68.38723404255319,True
85,14,1236,672,673.5,82,89.95657894736841,True
85,18,1538,694,563.0,66,110.98580441640378,True
85,8,779,671,370.5,42,98.51318944844124,True
85,9,855,675,602.0,67,101.42793462109955,True
85,6,628,672,387.0,46,99.39726027397259,True
85,15,1309,669,554.5,60,112.1421647819063,True
85,7,705,677,259.0,38,68.54152823920266,True
85,5,554,679,186.0,27,69.45161290322581,True
86,0,171,676,213.0,34,61.354581673306775,True
86,14,1235,672,674.0,84,80.8610747051114,True
86,16,1389,671,305.5,41,80.52421652421653,True
86,8,779,670,369.0,44,86.60191846522781,True
86,4,474,678,243.5,32,73.80427046263345,True
86,7,705,677,242.5,36,59.90106007067138,True
86,11,1007,667,389.0,44,98.32420091324201,True
87,1,245,678,617.0,67,96.99854862119012,True
87,16,1389,672,308.5,41,76.80225988700565,True
87,8,779,670,384.0,45,89.05069124423963,True
87,18,1537,694,576.5,68,96.08166409861326,True
87,19,1614,678,386.5,56,67.9261744966443,True
87,4,474,675,250.0,34,73.40277777777777,True
87,0,171,676,105.5,16,62.238095238095234,True
87,7,704,679,258.0,37,63.49666666666667,True
87,5,555,679,163.5,26,67.6701030927835,True
87,11,1007,667,390.0,44,99.58086560364464,True
88,16,1388,674,289.0,41,70.96706586826348,True
88,19,1614,678,693.5,92,70.89746835443039,True
88,0,171,676,224.5,37,60.51127819548872,True
88,4,475,672,244.5,34,69.0565371024735,True
88,9,853,674,606.0,69,90.42647058823529,True
88,7,704,680,252.0,40,61.447811447811446,True
88,5,554,679,184.0,27,61.10648148148148,True
88,11,1007,667,381.0,43,97.41491841491842,True
89,4,476,671,258.5,34,80.81818181818181,True
89,6,627,672,383.5,48,90.8348623853211,True
